year,region,SSP1,SSP2,SSP3,SSP4,SSP5
y1960,LAM,0.493228310553488,0.493228310553488,0.493228310553488,0.493228310553488,0.493228310553488
y1960,OAS,0.177715950860306,0.177715950860306,0.177715950860306,0.177715950860306,0.177715950860306
y1960,SSA,0.147692836187626,0.147692836187626,0.147692836187626,0.147692836187626,0.147692836187626
y1960,EUR,0.611903674190942,0.611903674190942,0.611903674190942,0.611903674190942,0.611903674190942
y1960,NEU,0.358196522051204,0.358196522051204,0.358196522051204,0.358196522051204,0.358196522051204
y1960,MEA,0.331442660470341,0.331442660470341,0.331442660470341,0.331442660470341,0.331442660470341
y1960,REF,0.492056936495384,0.492056936495384,0.492056936495384,0.492056936495384,0.492056936495384
y1960,CAZ,0.737805032768689,0.737805032768689,0.737805032768689,0.737805032768689,0.737805032768689
y1960,CHA,0.176507533456965,0.176507533456965,0.176507533456965,0.176507533456965,0.176507533456965
y1960,IND,0.17924,0.17924,0.17924,0.17924,0.17924
y1960,JPN,0.63272,0.63272,0.63272,0.63272,0.63272
y1960,USA,0.69996,0.69996,0.69996,0.69996,0.69996
y1961,LAM,0.501233053810278,0.501233053810278,0.501233053810278,0.501233053810278,0.501233053810278
y1961,OAS,0.180942015228619,0.180942015228619,0.180942015228619,0.180942015228619,0.180942015228619
y1961,SSA,0.150696925726856,0.150696925726856,0.150696925726856,0.150696925726856,0.150696925726856
y1961,EUR,0.616494710452253,0.616494710452253,0.616494710452253,0.616494710452253,0.616494710452253
y1961,NEU,0.364387357144591,0.364387357144591,0.364387357144591,0.364387357144591,0.364387357144591
y1961,MEA,0.338624451794697,0.338624451794697,0.338624451794697,0.338624451794697,0.338624451794697
y1961,REF,0.499588413958436,0.499588413958436,0.499588413958436,0.499588413958436,0.499588413958436
y1961,CAZ,0.743156332034874,0.743156332034874,0.743156332034874,0.743156332034874,0.743156332034874
y1961,CHA,0.182054582599981,0.182054582599981,0.182054582599981,0.182054582599981,0.182054582599981
y1961,IND,0.18032,0.18032,0.18032,0.18032,0.18032
y1961,JPN,0.64213,0.64213,0.64213,0.64213,0.64213
y1961,USA,0.70377,0.70377,0.70377,0.70377,0.70377
y1962,LAM,0.509359136416527,0.509359136416527,0.509359136416527,0.509359136416527,0.509359136416527
y1962,OAS,0.184139819824724,0.184139819824724,0.184139819824724,0.184139819824724,0.184139819824724
y1962,SSA,0.153790757962348,0.153790757962348,0.153790757962348,0.153790757962348,0.153790757962348
y1962,EUR,0.620985241113472,0.620985241113472,0.620985241113472,0.620985241113472,0.620985241113472
y1962,NEU,0.371131521588432,0.371131521588432,0.371131521588432,0.371131521588432,0.371131521588432
y1962,MEA,0.345968456546663,0.345968456546663,0.345968456546663,0.345968456546663,0.345968456546663
y1962,REF,0.507075389967708,0.507075389967708,0.507075389967708,0.507075389967708,0.507075389967708
y1962,CAZ,0.74958941769608,0.74958941769608,0.74958941769608,0.74958941769608,0.74958941769608
y1962,CHA,0.18760475411528,0.18760475411528,0.18760475411528,0.18760475411528,0.18760475411528
y1962,IND,0.18218,0.18218,0.18218,0.18218,0.18218
y1962,JPN,0.65144,0.65144,0.65144,0.65144,0.65144
y1962,USA,0.70757,0.70757,0.70757,0.70757,0.70757
y1963,LAM,0.517518605640817,0.517518605640817,0.517518605640817,0.517518605640817,0.517518605640817
y1963,OAS,0.187377987606046,0.187377987606046,0.187377987606046,0.187377987606046,0.187377987606046
y1963,SSA,0.157081810849003,0.157081810849003,0.157081810849003,0.157081810849003,0.157081810849003
y1963,EUR,0.625880087488589,0.625880087488589,0.625880087488589,0.625880087488589,0.625880087488589
y1963,NEU,0.377787699609852,0.377787699609852,0.377787699609852,0.377787699609852,0.377787699609852
y1963,MEA,0.353381846024159,0.353381846024159,0.353381846024159,0.353381846024159,0.353381846024159
y1963,REF,0.514531297069151,0.514531297069151,0.514531297069151,0.514531297069151,0.514531297069151
y1963,CAZ,0.755777496620499,0.755777496620499,0.755777496620499,0.755777496620499,0.755777496620499
y1963,CHA,0.193013347505931,0.193013347505931,0.193013347505931,0.193013347505931,0.193013347505931
y1963,IND,0.18405,0.18405,0.18405,0.18405,0.18405
y1963,JPN,0.66064,0.66064,0.66064,0.66064,0.66064
y1963,USA,0.71134,0.71134,0.71134,0.71134,0.71134
y1964,LAM,0.525724013404094,0.525724013404094,0.525724013404094,0.525724013404094,0.525724013404094
y1964,OAS,0.190619797147451,0.190619797147451,0.190619797147451,0.190619797147451,0.190619797147451
y1964,SSA,0.160517201370982,0.160517201370982,0.160517201370982,0.160517201370982,0.160517201370982
y1964,EUR,0.630747249297479,0.630747249297479,0.630747249297479,0.630747249297479,0.630747249297479
y1964,NEU,0.384332648523025,0.384332648523025,0.384332648523025,0.384332648523025,0.384332648523025
y1964,MEA,0.360975731706345,0.360975731706345,0.360975731706345,0.360975731706345,0.360975731706345
y1964,REF,0.521960685710087,0.521960685710087,0.521960685710087,0.521960685710087,0.521960685710087
y1964,CAZ,0.761879782872345,0.761879782872345,0.761879782872345,0.761879782872345,0.761879782872345
y1964,CHA,0.198552731466094,0.198552731466094,0.198552731466094,0.198552731466094,0.198552731466094
y1964,IND,0.18595,0.18595,0.18595,0.18595,0.18595
y1964,JPN,0.66972,0.66972,0.66972,0.66972,0.66972
y1964,USA,0.71508,0.71508,0.71508,0.71508,0.71508
y1965,LAM,0.533378537764375,0.533378537764375,0.533378537764375,0.533378537764375,0.533378537764375
y1965,OAS,0.193915217643772,0.193915217643772,0.193915217643772,0.193915217643772,0.193915217643772
y1965,SSA,0.164068488631848,0.164068488631848,0.164068488631848,0.164068488631848,0.164068488631848
y1965,EUR,0.635648841251406,0.635648841251406,0.635648841251406,0.635648841251406,0.635648841251406
y1965,NEU,0.390765957704705,0.390765957704705,0.390765957704705,0.390765957704705,0.390765957704705
y1965,MEA,0.368835235763032,0.368835235763032,0.368835235763032,0.368835235763032,0.368835235763032
